mean_branch_length_nuc	median_branch_length_nuc	mean_branch_length_pro	media_branch_length_pro	Human_snp_per_gene	Chimp_snp_per_gene	Gorilla_snp_per_gene	Mouse_snp_per_gene	Dog_snp_per_gene	Human_BL	Chimp_BL	Gorilla_BL	Mouse_BL	Dog_BL	Alignment_length	hg18Length	Hg19Length	hg38Length	mouseGRCm38Length	dogCF3_1Length	human_chrom	Human_singleton	Human_deNove	Human_de_nove_event	Great_Ape_mean_branch_length_nuc	Ape_mean_branch_length_nuc	Primates_mean_branch_length_nuc	Rodents_mean_branch_length_nuc	Euarchontoglires_mean_branch_length_nuc	Laurasiatheria_mean_branch_length_nuc	Great_Ape_media_branch_length_nuc	Ape_median_branch_length_nuc	Primates_median_branch_length_nuc	Rodents_median_branch_length_nuc	Euarchontoglires_median_branch_length_nuc	Laurasiatheria_median_branch_length_nuc
ABCA1	0.0176181713299465	0.0070076137	0.0162364439893048	0.00723615	0.0275117799057608	0.00896792825657395	0.00334397324821401	0.00735956743766897	0.0116366933655735	0.0019368247	0.000866194	0.0027553155	0.0356011857	0.0330591116	6783	6579	6579	6764	6658	6617	9	0.0158078735370117	0	0	0.00287285504285714	0.00307992228888889	0.0075070651925	0.0314684276375	0.01690541315125	0.0146808958256757	0.0016267185	0.0020612318	0.0027798876	0.0260554964	0.0071885175	0.0064535751
ABCA12	0.0210389426077348	0.00904026	0.0213518755624309	0.0112702802	0.0266459707670418	0.00944250420385461	0.00776096235933256	0.00775193798449612	0.00932125508730471	0.001753569	0.0024743783	0.0044296203	0.0336434234	0.0274633619	7785	7731	7731	7620	7611	7617	2	0.0165567196999095	0	0	0.00324022478571429	0.00347009234444444	0.00882316805	0.0380247031125	0.01969945615875	0.0166461438264706	0.0018532762	0.002449862	0.0030315909	0.0291154838	0.0081629585	0.0073298774
ABCA4	0.0226371451661017	0.0083372163	0.025383437820339	0.0096703802	0.0369713102632357	0.0136054421768707	0.00635906536527655	0.00850814141117794	0.00794364508393285	0.0028352426	0.0014587844	0.0044632237	0.0329359318	0.0305765894	6795	6762	6762	6750	6817	6672	1	0.0195208518189885	0	0	0.00350955435714286	0.00410232287777778	0.010923720995	0.0375011119045455	0.0211998953092105	0.0193418890222222	0.0025403396	0.0029597345	0.0034176667	0.0281772453	0.0089019889	0.0075501621
ABCA5	0.0169799163358289	0.0064603638	0.0177415697668449	0.0086492285	0.025407973559182	0.00784961784755216	0.00227225779797562	0.0107106076210093	0.00620347394540943	0.0013019886	0.0012513744	0.0030533083	0.0414089821	0.0217609465	4926	4841	4841	4836	4855	4836	17	0.0150795290229291	0.000413137781450114	2	0.00245675514285714	0.0049477175	0.00734978269	0.0311314079416667	0.01597153859625	0.0143609482297297	0.0013813559	0.0021366608	0.0022032567	0.0221014859	0.0062728338	0.006102116
ABCB11	0.0224433212398907	0.0082525384	0.0286575054819672	0.012314466	0.0245253164556962	0.0116033755274262	0.00316455696202532	0.0123945147679325	0.0114059013141582	0.0035472805	0.0017853569	0.0045837875	0.0488953773	0.0294286917	3963	3792	3792	4141	3792	4033	2	0.0121308016877637	0	0	0.00337546611428571	0.00344664614444444	0.00927708711	0.0465360647916667	0.0233906975475	0.0163978215357143	0.0019594168	0.0035321537	0.0035694943	0.0389290126	0.0083194291	0.0070802327
ABCB6	0.0216527778153005	0.0086641495	0.020973469910929	0.0095198204	0.0337230215827338	0.00539568345323741	0.00269784172661871	0.00816167897396036	0.0104489164086687	0.0040065448	0.0003962425	NA	0.0305285681	0.0366670765	2529	2224	2224	1871	2573	2584	2	0.0224820143884892	0	0	0.00434811134	0.00602159468571429	0.0100988271	0.0341700607833333	0.0214940041128205	0.0185605474905405	0.0011994677	0.0052324865	0.0035893707	0.0301346215	0.0105642502	0.0069797303
ABCB7	0.0156338658932203	0.0054497958	0.0178024348474576	0.0074159644	0.0154424040066778	0.00250417362270451	0.000834724540901503	0.00193704600484262	0.00335731414868106	0.0008898135	0.0060021864	0.0022088328	0.0176391735	0.0207687657	2253	2396	2396	2114	2065	2085	X	0.00876460767946578	0	0	0.0023278484	0.00236710121111111	0.005854251125	0.0230828219541667	0.0122493270487179	0.0121639731939394	0.0008881894	0.0022241162	0.0017916346	0.0177959593	0.0053668165	0.0047105209
ABCC5	0.01673272258	0.0068566626	0.0104597469302857	0.0037580478	0.0191693290734824	0.00753080785029667	0.00319488817891374	0.0043418647166362	0.00421842043590344	0.0026688052	0.0004447064	NA	0.0252516317	0.0190245539	4311	4382	4382	4382	4376	4267	3	0.0130077590141488	0	0	0.00318622988	0.00408494462857143	0.00739869925	0.0286304069583333	0.0172367012576923	0.0122609119818182	0.0018774211	0.0022805334	0.0019448317	0.0244668567	0.009504663	0.0044126228
ABCC8	0.0196064313751381	0.0085562428	0.0123029222331492	0.0050781741	0.0320723684210526	0.00596217105263158	0.00349506578947368	0.0136736554238833	0.0093521897810219	0.002969146	0.0002180341	0.0018142897	0.0279116308	0.0295288938	4746	4864	4864	4769	5485	4384	11	0.0193256578947368	0	0	0.00158890882	0.00373808714285714	0.0105646792527778	0.0316123464875	0.0186427523131579	0.0168423319041667	0.0019281027	0.0020647814	0.0028971349	0.0244616659	0.0085316467	0.0086369113
ABCC9	0.0185284639972067	0.0057625307	0.00651072189050279	0.0020982479	0.017558886509636	0.00364025695931478	0.00149892933618844	0.0114942528735632	0.00542005420054201	0.0006817968	0.0012140905	0.0016647366	0.0309579762	0.0208040502	4647	4670	4670	4708	4698	4797	12	0.0109207708779443	0	0	0.00199626632857143	0.00228321283333333	0.00720161647105263	0.054789676755	0.0224772902094595	0.0129137167243243	0.0006652414	0.0011501896	0.0016887292	0.0335598057	0.0066937158	0.0044064089
ABCD2	0.0185973117579235	0.0050987962	0.0249861580338798	0.0056479991	0.0191678354371202	0.00794763908368396	0.00233754090696587	0.0104308390022676	0.00557700557700558	0.0023009946	0.0004590099	0.002419783	0.032871555	0.0170478658	2220	2139	2139	2330	2205	2331	12	0.010752688172043	0	0	0.00177029497142857	0.00192987214444444	0.0055158906275	0.0331278573045455	0.020119891625641	0.0158751528597222	0.0004515557	0.0022615665	0.0022700034	0.0237595888	0.0053548167	0.0042287754
ABCD3	0.0127212124074866	0.0050437758	0.00901248847219251	0.0044977707	0.017017017017017	0.005005005005005	0.0005005005005005	0.00892857142857143	0.00355510411376333	0.000842771	0.0010145771	0.0015290521	0.0363884356	0.0149098028	1977	1998	1998	1864	1792	1969	1	0.012012012012012	0	0	0.00198104914285714	0.00265395736666667	0.0058814679975	0.0239241593041667	0.0125202739975	0.0107037665797297	0.0010115773	0.0011456278	0.0017965016	0.0147388626	0.0048127354	0.0047124828
ABCD4	0.0212949205883978	0.0094106268	0.0192637496303867	0.0090011805	0.0357142857142857	0.0133928571428571	0.00334821428571429	0.00933488914819136	0.00641399416909621	0.004353858	0.0005489224	0.0045450516	0.0293025755	0.0296357002	1818	1792	1792	1769	1714	1715	14	0.0184151785714286	0	0	0.00397475668571429	0.00418538943333333	0.0103264930275	0.0392432288636364	0.0217889257961538	0.0180517644819444	0.0016235298	0.0032525561	0.0026166046	0.0272415824	0.0101108291	0.0084146551
ABCE1	0.010506711257672	0.0035728459	0.000513938365079365	2.0092e-06	0.0114879649890591	0.00328227571115974	0.000547045951859956	0.00834260289210234	0.00336511497476164	0.0011774584	2.3278e-06	0.0014637915	0.0154898064	0.0147883369	1797	1828	1828	1779	1798	1783	4	0.00765864332603939	0	0	0.00124028214285714	0.00158784943333333	0.0049040326875	0.0191860676375	0.01047912913375	0.00783232884473684	2.0853e-06	0.0011137927	0.0014058821	0.0135416077	0.0045904609	0.0026789409
ABCF1	0.0201438785153005	0.0083398185	0.0117207191442623	0.0034776197	0.0239043824701195	0.00677290836653386	0.00119521912350598	0.00568412505075112	0.00530612244897959	0.0023279474	0.0003987754	0.0008273559	0.0379266555	0.0356371044	2526	2510	2510	2298	2463	2450	6	0.0159362549800797	0	0	0.00217765801428571	0.00230544776666667	0.0082303861925	0.0427304557833333	0.02099987946125	0.0159050974135135	0.0008209636	0.001200465	0.0023927997	0.0343019679	0.0084706382	0.0071671822
ABCF2	0.0149333821074074	0.0065466037	0.0031052437957672	2.5653e-06	0.0225130890052356	0.00575916230366492	0.00261780104712042	0.00223588596981554	0.00514668039114771	0.0016495563	2.2511e-06	0.0011007922	0.0257843111	0.0236893727	1872	1910	1910	1910	1789	1943	7	0.012565445026178	0	0	0.00138999092857143	0.00162325855555556	0.00505332879	0.0283234376166667	0.01492874460375	0.012926338775	0.000537813	0.001077964	0.0013320367	0.0226269325	0.005154567	0.0052435718
ABCF3	0.0169949127716578	0.0056561071	0.00649895642459893	0.0020704595	0.0260955194485475	0.00640078778926637	0.0034465780403742	0.00260281103591879	0.00660233621127476	0.0014434716	0.0004785805	0.0023864307	0.0228186177	0.0158210307	2127	2031	2031	1898	1921	1969	3	0.0162481536189069	0	0	0.00188951118571429	0.00241792037777778	0.0081676275975	0.0312366761125	0.01781535379125	0.0111417752421053	0.0009413949	0.0014159234	0.0025954449	0.0248680021	0.0094053465	0.0043466618
ABCG5	0.0290766543983784	0.009654837	0.0376397768016216	0.0145195779	0.0389129092032119	0.0086473131562693	0.00247066090179123	0.0154416306361952	0.00633275762809442	0.0020704989	0.0018587898	0.0025882005	0.0520489183	0.0312526258	1956	1619	1619	1741	1619	1737	2	0.0216182828906733	0	0	0.00373518222857143	0.00417373656666667	0.0121870946625	0.0479959953333333	0.02675072057125	0.0288676261054054	0.0023149005	0.0023165458	0.0037438536	0.0434645024	0.0106543607	0.0073489196
ABHD12	0.0171272295705202	0.0078241257	0.00746606449075145	0.0036667589	0.0281124497991968	0.00803212851405622	0.00267737617135207	0.0072463768115942	0.005175983436853	2.0144e-06	0.0011976076	2.398e-06	0.0175497011	0.0312831681	1023	1494	1494	1454	966	966	20	0.0153949129852744	0	0	0.00269170967142857	0.00253969572222222	0.0102521665111111	0.02648240775	0.0180785424421053	0.0159239125628571	0.0011664761	0.0011668456	0.0030559123	0.0193732487	0.0092604725	0.0065107705
ABHD12B	0.0283189008096045	0.0109339816	0.0356934766485876	0.0167042844	0.0288104089219331	0.0120817843866171	0.00836431226765799	0.00925925925925926	0.00844390832328106	0.0020057337	0.0011741705	0.0023928772	0.1026485192	0.0361443185	999	1076	1076	1076	1080	829	14	0.0139405204460967	0	0	0.00407297551428571	0.00469442008888889	0.0101979833	0.0565094173833333	0.027742512395	0.0217774154560606	0.0020087168	0.0020156566	0.003021159	0.0441264912	0.0120609396	0.0095682354
ABHD16A	0.0177377063939227	0.0072798872	0.0103013371745856	0.004380859	0.0213502596653203	0.00692440854010387	0.00346220427005193	0.00799016594960049	0.00665335994677312	0.0006090971	0.0012887135	0.0006462254	0.0153539176	0.0242106903	1674	1733	1733	1461	1627	1503	6	0.0103866128101558	0	0	0.00224860215714286	0.00281626521111111	0.00689495999473684	0.0306550670666667	0.0167875173884615	0.0122994610071429	0.0011958188	0.0012845387	0.0024445322	0.0219128625	0.00871507	0.0046687318
ABHD2	0.0165832420767568	0.0080074132	0.00452789490432432	2.5508e-06	0.0264598540145985	0.00456204379562044	0.00273722627737226	0.00459981600735971	0.0101195952161914	0.0031721684	0.0007886488	0.002405335	0.0175581224	0.0342028776	1275	1096	1096	1087	1087	1087	15	0.0145985401459854	0	0	0.00182147854285714	0.00406693754444444	0.0073668870575	0.0275239170958333	0.01554717859625	0.0187762977689189	0.0010468253	0.0008552613	0.0023953489	0.0215318183	0.0078797649	0.0056763163
ABHD3	0.0167348030751412	0.006332273	0.0112799405836158	0.0039071096	0.0271985494106981	0.00362647325475975	0.00362647325475975	0.00282485875706215	0.00866141732283465	0.0019111119	2.4282e-06	NA	0.0464699741	0.0458001501	1074	1103	1103	1047	1062	1270	18	0.0163191296464189	0	0	0.0026584649	0.00230571498571429	0.0064770033	0.0422347612409091	0.0200224264263158	0.0123867838457143	0.0009414777	0.0018890173	0.0019496405	0.0356807424	0.0075753914	0.0050324934
ABHD4	0.0164601156308108	0.00591063	0.00677955012810811	0.004572237	0.0290872617853561	0.00501504513540622	0.00501504513540622	0.00398406374501992	0.00327510917030568	0.0030306722	2.4424e-06	0.0029605579	0.0135658724	0.0314722041	1026	997	997	948	1004	916	14	0.0150451354062187	0	0	0.00371544475714286	0.0040764855	0.0072698860725	0.0251444679454545	0.0146931515410256	0.012441660327027	0.0029329388	0.0030131997	0.0027045023	0.0172854715	0.0058021953	0.0055451576
ABHD5	0.0199892218664804	0.0076348573	0.0120150255407821	0.0041013341	0.0260115606936416	0.00867052023121387	0.00385356454720617	0.00328587075575027	0.00328587075575027	0.001069633	0.0010695146	0.0065099535	0.012480555	0.0160861165	1005	1038	1038	913	913	913	3	0.0163776493256262	0	0	0.00260274232	0.00345243177142857	0.00648852764210526	0.052439138655	0.0214574466689189	0.0136270983638889	0.0009972705	0.0009865624	0.0020255655	0.0331694812	0.0094001339	0.0060557065
ABHD6	0.0228973370666667	0.007610045	0.0201901613719577	0.0047996821	0.0203862660944206	0.00321888412017167	0.00214592274678112	0.00803673938002296	0.0126436781609195	0.0009912862	0.0009913271	0.0029864604	0.0284199785	0.0432412197	1011	932	932	862	871	870	3	0.0150214592274678	0	0	0.00227770111428571	0.00232489944444444	0.0081882253025	0.0405949972333333	0.02089963211625	0.0194389643789474	0.0009894536	0.0009905906	0.0020526688	0.0291300926	0.0078489672	0.0072996204
ABI1	0.00876305824708995	0.0030842615	0.00125828931904762	2.0562e-06	0.0138190954773869	0.00439698492462312	0.00376884422110553	0.00351493848857645	0.00493421052631579	0.0006990279	0.0006978604	2.2364e-06	0.0158700074	0.0151128697	1443	1592	1592	1426	1138	1216	10	0.00753768844221105	0	0	0.00109216625714286	0.00115863425555556	0.0032949039725	0.0197099352458333	0.0093280062725	0.00742217872105263	0.0006924516	0.0006933211	0.0013992251	0.0150646906	0.0028425949	0.0032289158
ABI2	0.0110939389237569	0.0038964413	0.00369763945248619	2.907e-06	0.0144685587089594	0.00111296605453534	0.00222593210907067	0.00209937018894332	0.00245549416820135	2.0352e-06	2.2757e-06	0.001601883	0.0244942522	0.01180093	1626	1797	1797	1727	1429	1629	2	0.010016694490818	0	0	0.00158215747142857	0.00178917392222222	0.00446498200263158	0.0238830038416667	0.012247538725641	0.01034949167	0.0006150525	0.0006640427	0.001462587	0.0143454394	0.0040167351	0.004495332
ABI3BP	0.01983134522	0.0073549961	0.0228187495767568	0.008921628	0.028321611860863	0.00969397452955712	0.00494202623075461	0.013000852514919	0.00956937799043062	0.004729632	0.0009358361	0.0025132168	0.0348769493	0.0277572809	3228	5261	5261	5104	4692	5016	3	0.0150161566242159	0.0001900779319521	1	0.00316844742857143	0.003407656	0.0093865785625	0.0387952577666667	0.02032042376625	0.0146521642824324	0.0015890294	0.0024934775	0.002686643	0.0283317832	0.0084417086	0.0056725818
ABL1	0.0250725449100529	0.0107697947	0.0200752985973545	0.0084953262	0.0304767652383826	0.00694025347012673	0.00482800241400121	0.00250156347717323	0.00562851782363977	0.0020290559	0.001471019	0.0058038495	0.03786637	0.0534676687	3450	3314	3314	1599	1599	1599	9	0.015992757996379	0	0	0.00370953307142857	0.00380723856666667	0.0113351822075	0.0462296598833333	0.02602746375625	0.0224151772710526	0.0014552212	0.0019430836	0.0033324402	0.0372983423	0.0111387417	0.0093618117
ABL2	0.0172386691114754	0.0054487978	0.0124503162710383	0.0039610682	0.0222222222222222	0.00522875816993464	0.00209150326797386	0.0068241469816273	0.00630914826498423	0.0020126531	2.8716e-06	0.0020185347	0.0266091854	0.0168224118	3390	3825	3825	3549	1905	1902	1	0.0125490196078431	0	0	0.0018202461	0.00224336527777778	0.0104244242825	0.0220004082291667	0.0153064066025641	0.0193823187291667	0.0009602799	0.0016527047	0.0020491784	0.0142376522	0.0053852323	0.005829413
ABLIM1	0.0140278632053476	0.0053645793	0.00924038731069519	0.0037642128	0.0353283458021613	0.0116375727348296	0.00415627597672485	0	0.00687757909215956	0.0029132524	0.0014512261	0.0007325292	0.0202535578	0.0154813533	1386	2406	2406	2844	2545	2181	10	0.0195344970906068	0	0	0.00228137228571429	0.00241863193333333	0.0059208730225	0.0279592758136364	0.0143734515807692	0.0123956400289474	0.0014448314	0.0014451095	0.0025028287	0.020916182	0.0054322204	0.0051483257
ABLIM3	0.0124599778578378	0.005376802	0.00370343953621622	0.0018826765	0.0368098159509202	0.00755073147711185	0.00424728645587541	0.00208986415882968	0.00875386199794027	2.3483e-06	0.0015377484	0.003345239	0.0211079163	0.0212793933	2049	2119	2119	1966	1914	1942	5	0.025011798017933	0	0	0.0019000038	0.00241789566666667	0.0064734821075	0.0217155091625	0.0124866039325	0.0110814741743243	0.0010597008	0.0016120207	0.0019745688	0.0161771096	0.0062679207	0.0044770691
ABR	0.0135656806625668	0.0055145125	0.00136311445347594	2.3123e-06	0.0278336686787391	0.00804828973843058	0.00503018108651911	0.00617538081515027	0.00816023738872404	0.0027042429	0.0010200112	0.0036838328	0.0196229125	0.0214455823	2334	2982	2982	2653	2429	2696	17	0.0174379610999329	0	0	0.00454009255714286	0.00466462171111111	0.00772014986052632	0.020869028025	0.0140270693833333	0.0107714348013158	0.0010588105	0.002859497	0.0035905508	0.014468537	0.0073081446	0.0046004293
ABRA	0.0307068267481481	0.0106164827	0.0343498015386243	0.0135771307	0.037344398340249	0.00968188105117566	0.004149377593361	0.0128205128205128	0.0105580693815988	0.002654788	2.4793e-06	0.003895689	0.0411284101	0.0492365995	1143	723	723	722	702	1326	8	0.024896265560166	0	0	0.00842467584285714	0.00762447591111111	0.0148225452525	0.060261682725	0.03134889603	0.0258231001026316	0.0026310199	0.0035142476	0.0036205844	0.0428725064	0.0117065619	0.009292309
ACAA2	0.03233679172	0.0094496647	0.0459317710702703	0.0135533046	0.0228728270814273	0.00457456541628545	0.00182982616651418	0.0155535224153705	0.0122116689280868	2.3841e-06	0.000841144	0.0067946767	0.033480725	0.1042167083	1191	1093	1093	1093	1093	737	18	0.0118938700823422	0.000914913083257091	1	0.0026550621	0.00357755536666667	0.011091293255	0.0417963724166667	0.0236847479375	0.0489705029094595	0.0008404399	0.0016809773	0.0027383085	0.0343815973	0.0095625351	0.0083437076
ACACA	0.0126974795106952	0.0046958539	0.00370285279090909	0.0017550269	0.0118110236220472	0.00365579302587177	0.00168728908886389	0.0051524259338772	0.00486409155937053	0.001435144	0.0002826444	0.0017990152	0.0204853581	0.0176042788	7038	7112	7112	6990	6987	6990	17	0.0077334083239595	0	0	0.00187236762857143	0.00219402282222222	0.005734968485	0.0203261362833333	0.01174798377875	0.00964005290135135	0.001423603	0.0017779739	0.0018038064	0.0168409068	0.0049972153	0.0044328711
ACACB	0.0277118254121547	0.0114683681	0.0259260977342541	0.0135763298	0.0324294863060362	0.00981060089930508	0.002997683608121	0.0143993417443774	0.0114451185879757	0.0029958861	0.0004063095	NA	0.0406317163	0.0426997728	7368	7339	7339	7272	7292	7252	12	0.0182586183403733	0	0	0.00340688224	0.00647406814285714	0.0129565340722222	0.0450563340958333	0.0268520587960526	0.0224425685430556	0.0024399555	0.0045249999	0.004307755	0.0333310894	0.0119923478	0.0112378168
ACAD8	0.0271342679465608	0.0105803715	0.0288824745338624	0.0124259554	0.0234248788368336	0.0105008077544426	0.000807754442649435	0.00817661488143908	0.00406091370558376	0.0017495067	0.0018836708	0.002509812	0.0325138774	0.036798026	1215	1238	1238	1306	1223	985	11	0.0169628432956381	0	0	0.00351895461428571	0.00337817423333333	0.01124076909	0.0327293104958333	0.01943411053125	0.0327666868355263	0.0018773208	0.0024816795	0.004871521	0.022084966	0.0080501902	0.0099466702
ACADL	0.0205312090955307	0.0088182321	0.0234624332530726	0.0127919101	0.0249554367201426	0.0124777183600713	0.00623885918003565	0.0124777183600713	0.00802139037433155	2.8843e-06	0.0008696197	0.0052199666	0.0336153657	0.0615171267	1212	1122	1122	1122	1122	1122	2	0.0151515151515152	0	0	0.0034504811	0.00294331423333333	0.00973824591	0.034863620475	0.0192813913275	0.0164793880823529	0.0008373357	0.000837437	0.0025400087	0.0261077583	0.0102293483	0.0074292968
ACADM	0.0189224472331429	0.0076057905	0.0195813609588571	0.0105708719	0.0225903614457831	0.00903614457831325	0.0052710843373494	0.00687285223367698	0.00440528634361234	2.6351e-06	0.0016003068	0.001733365	0.0412510454	0.0388052616	1263	1328	1328	1275	1164	908	1	0.0143072289156626	0	0	0.00321999814285714	0.00303293416666667	0.0098132116325	0.0432207737045455	0.0202569366205128	0.0137049531705882	0.0015871806	0.0015891337	0.0032416375	0.032155648	0.0083255126	0.0061390835
ACAP2	0.0137363507740331	0.0048737246	0.00891867711436464	0.0024456821	0.0153256704980843	0.00340570455512984	0.00127713920817369	0.00437636761487965	0.00421940928270042	0.0018003824	2.5047e-06	0.0014204244	0.0271955641	0.0204496558	2331	2349	2349	2309	2285	2133	3	0.0097914005959983	0	0	0.0019372108	0.00203004777777778	0.004851965215	0.0248452324	0.01191280986625	0.00904415760294118	0.0012877359	0.0013547625	0.0021838362	0.018163454	0.0054712084	0.0038833772
ACAT1	0.0246900906888268	0.0087520925	0.0177725376044693	0.0080297429	0.0295109612141653	0.00252951096121417	0.00168634064080944	0.00549954170485793	0.00827814569536424	2.4239e-06	2.5566e-06	0.0018440385	0.0302606624	0.0775461255	1254	1186	1186	1091	1091	1208	11	0.0185497470489039	0	0	0.00162688818571429	0.00252185452222222	0.0115207841825	0.0437275507666667	0.02380447893375	0.0215106051606061	0.0007969714	0.00079782	0.0024436168	0.027763115	0.0103028522	0.0062731116
ACBD3	0.0183062874836257	0.0075979537	0.0161555389116959	0.007049089	0.0264808362369338	0.00905923344947735	0.00209059233449477	0.00280701754385965	0.00532859680284192	0.0016218913	0.0008117342	0.0024790383	0.0271293205	0.0233509853	1308	1435	1435	1422	1425	1126	1	0.0146341463414634	0	0	0.00286910671428571	0.00299806426666667	0.00619768062894737	0.0313919674375	0.0160651550666667	0.0160871786816667	0.0015190343	0.0015334022	0.0021707374	0.0255823422	0.0068086326	0.0058991907
