mean_branch_length_nuc	median_branch_length_nuc	mean_branch_length_pro	media_branch_length_pro	Human_snp_per_gene	Chimp_snp_per_gene	Gorilla_snp_per_gene	Mouse_snp_per_gene	Dog_snp_per_gene	Human_BL	Chimp_BL	Gorilla_BL	Mouse_BL	Dog_BL	Alignment_length	hg18Length	Hg19Length	hg38Length	mouseGRCm38Length	dogCF3_1Length	human_chrom	Human_singleton	Human_deNove	Human_de_nove_event
ACSM3	0.0207037357160221	0.0079780718	0.024819169279558	0.0113995715	0.0323655402189434	0.0123750594954783	0.002855782960495	0.00577367205542725	0.00985507246376812	0.0023684212	0.0012181914	0.0017686355	0.0319769634	0.0343839101	1740	2101	2101	1994	1732	1725	16	0.0176106615897192	0	0
ACSS2	0.0138751367814208	0.0064064735	0.0117919226224044	0.0056697157	0.0212858384013901	0.00434404865334492	0.00260642919200695	0.00138185168125288	0.00543773790103317	0.0019198425	2.704e-06	0.0042733928	0.0199079334	0.023793154	2103	2302	2302	2160	2171	1839	20	0.0121633362293658	0	0
ACSS3	0.0209140778138728	0.0084329843	0.0166581338144509	0.0073946565	0.0245546461242176	0.00625902744342802	0.00240731824747232	0.00938967136150235	0.00938967136150235	0.0035917718	0.0009855736	0.0024219479	0.0217120548	0.0412880479	2058	2077	2077	2098	2130	2130	12	0.0149253731343284	0	0
ACTA2	0.0278574990111732	0.0068017122	0.0163225877379888	0	0.0108588351431392	0.0108588351431392	0.00296150049358342	0	0.0177165354330709	0.002046786	0.0020119147	0.0011642663	0.0199190731	0.0862905184	1011	1013	1013	1013	1013	1016	10	0.0069101678183613	0	0
ACTC1	0.02732997524	0.0056941706	0.0157864640578378	0	0.0118577075098814	0.00592885375494071	0.00197628458498024	0.0117762512266928	0.00580720092915215	0.00089116	2.177e-06	0.0027281301	0.0197272113	0.0338541711	1131	1012	1012	1012	1019	861	15	0.00691699604743083	0	0
ACTG2	0.0275582556381215	0.0060500077	0.0119875970110497	0	0.0117302052785924	0.00293255131964809	0.000977517106549365	0.00586510263929619	0.00488758553274682	0.002630666	1.8156e-06	NA	0.0207643854	0.0210676498	1128	1023	1023	1023	1023	1023	2	0.00586510263929619	0	0
ACTL6A	0.0133367230705882	0.0045338384	0.000846832880748663	2.1391e-06	0.0176848874598071	0.00321543408360129	0	0.0126689189189189	0.00771010023130301	0.0023496406	2.4945e-06	2.4945e-06	0.023945617	0.0162882643	1287	1244	1244	1184	1184	1297	3	0.00884244372990354	0.000803858520900322	1
ACTL6B	0.013603987510929	0.0045570865	0.000434808669945355	0	0.0233139050791007	0.00333055786844296	0.00166527893422148	0.00333611342785655	0.0025531914893617	0.0032204039	0.0007952095	0.0023889093	0.0119551991	0.0343614544	1278	1201	1201	1192	1199	1175	7	0.0141548709408826	0	0
ACTN1	0.0131606733055866	0.0066940791	0.00140426165977654	2.3322e-06	0.0203376822716807	0.00613967766692249	0.0034535686876439	0.00650593187906621	0.00570409982174688	0.0012606703	0.0003704176	0.0018263606	0.02977898	0.024820759	2742	2606	2606	2712	2613	2805	14	0.0107444359171144	0.000383729854182655	1
ACTN2	0.0176264972251337	0.0089424671	0.00282840423850267	0.0016541255	0.0304493130337913	0.00891199405867063	0.00185666542888971	0.0075	0.00563153660498793	0.0033267742	0.0003570095	0.0029413338	0.0180309876	0.0305772751	2682	2693	2693	2597	2400	2486	1	0.019680653546231	0	0
ACTR10	0.0132892941708108	0.0048864454	0.00785409507675676	0.0034935609	0.0179533213644524	0.00538599640933573	0.00179533213644524	0.00402010050251256	0.0050251256281407	2.2691e-06	0.0016044547	2.1846e-06	0.0335676618	0.0276445654	1251	1114	1114	1016	995	995	14	0.0116696588868941	0	0
ACTR1A	0.0138571442978836	0.0048464347	0.000171403780952381	0	0.008028545941124	0.00446030330062444	0	0	0.00408163265306122	0.0017865184	0.0008854285	0.0017880936	0.0353239004	0.0222377923	1128	1121	1121	980	980	980	10	0.00267618198037467	0	0
ACTR2	0.0110655601726776	0.004020042	0.000405213623497268	0	0.0072463768115942	0.0020703933747412	0.0020703933747412	0.0020703933747412	0	0.0008502277	0.0008716656	2.4934e-06	0.0108895751	0.010065715	1182	966	966	966	966	966	2	0.005175983436853	0	0
ACTR3	0.00811169312513966	0.0030886392	0.000381543696089385	0	0.00863557858376511	0.00259067357512953	0	0.0017905102954342	0.00747863247863248	0.0008380951	0.0008404352	0.0008350661	0.0112395035	0.0119871006	1254	1158	1158	1117	1117	936	2	0.00604490500863558	0	0
ACTR5	0.0246734994450292	0.0113043265	0.0147662332584795	0.008341363	0.0311915159076731	0.00623830318153462	0.00311915159076731	0.0150170648464164	0.00186915887850467	0.0033509519	2.076e-06	0.0026188133	0.0520233348	0.0396767237	1806	1603	1603	1591	1465	1605	20	0.0149719276356831	0	0
ACTR6	0.0108762650697297	0.0034201443	0.00151459877351351	2.2342e-06	0.0190909090909091	0.00545454545454545	0.00363636363636364	0.0113636363636364	0.00604229607250755	0.0025494992	0.0017016777	0.0016971875	0.0184184385	0.0197590985	1188	1100	1100	1006	1056	993	12	0.01	0	0
ACTR8	0.0165323125994652	0.0050698438	0.00317201487112299	2.9004e-06	0.0194003527336861	0.00646678424456202	0.00587889476778366	0.00435323383084577	0.00576036866359447	0.002876609	2.6768e-06	0.0033965525	0.0320702625	0.0224719988	1872	1701	1701	1816	1608	1736	3	0.0111699000587889	0	0
